                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.00281,                0.71579,                0.97895,                0.67277,             0.00027575,             0.00027575,             0.00027575
                     65,                 0.0028,                0.71579,                0.97895,                0.67682,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00276,                0.72105,                0.98421,                0.67237,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00274,                0.72105,                0.97895,                0.67482,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00282,                0.72105,                0.97895,                0.67448,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00283,                0.71579,                0.97895,                  0.672,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00279,                0.71579,                0.97895,                0.67206,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00276,                0.71579,                0.97895,                0.67421,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00287,                0.70526,                0.97895,                0.67413,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00273,                0.70526,                0.98421,                0.67394,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00273,                0.70526,                0.98421,                0.67519,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00277,                0.72632,                0.97895,                0.67244,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00268,                0.71579,                0.98421,                0.67292,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00276,                0.72105,                0.98421,                0.67073,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00286,                0.70526,                0.97895,                0.67564,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00283,                    0.7,                0.97895,                0.68175,             0.00016972,             0.00016972,             0.00016972
