                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42318,                0.22909,                0.87636,                0.90821,              0.0033251,              0.0033251,              0.0033251
                      2,                0.12971,                0.39636,                0.94182,                0.84296,              0.0065926,              0.0065926,              0.0065926
                      3,                0.04146,                    0.4,                0.94182,                0.84554,               0.009794,               0.009794,               0.009794
                      4,                0.02625,                    0.4,                0.94182,                0.83094,               0.009703,               0.009703,               0.009703
                      5,                0.01945,                0.41455,                0.95636,                0.83095,               0.009703,               0.009703,               0.009703
                      6,                0.01321,                0.49091,                0.94545,                0.80335,               0.009604,               0.009604,               0.009604
                      7,                0.00951,                0.53091,                0.97455,                0.79254,               0.009505,               0.009505,               0.009505
                      8,                0.00715,                0.46182,                0.95636,                0.80773,               0.009406,               0.009406,               0.009406
                      9,                0.00646,                0.53818,                0.96364,                0.78407,               0.009307,               0.009307,               0.009307
                     10,                 0.0061,                0.53091,                0.97091,                0.78313,               0.009208,               0.009208,               0.009208
                     11,                0.00559,                0.50545,                0.94909,                0.79283,               0.009109,               0.009109,               0.009109
                     12,                0.00437,                0.53091,                0.96727,                0.78597,                0.00901,                0.00901,                0.00901
                     13,                0.00436,                0.53091,                0.95636,                 0.7856,               0.008911,               0.008911,               0.008911
                     14,                 0.0044,                0.50909,                   0.96,                0.79531,               0.008812,               0.008812,               0.008812
                     15,                0.00398,                0.51273,                0.96364,                0.78835,               0.008713,               0.008713,               0.008713
                     16,                0.00388,                0.54909,                0.97091,                0.77581,               0.008614,               0.008614,               0.008614
                     17,                0.00434,                0.51636,                0.96727,                0.79185,               0.008515,               0.008515,               0.008515
                     18,                0.00424,                0.49818,                0.96364,                0.79546,               0.008416,               0.008416,               0.008416
                     19,                0.00367,                0.49455,                0.95636,                0.79865,               0.008317,               0.008317,               0.008317
                     20,                0.00381,                0.49818,                   0.96,                0.80002,               0.008218,               0.008218,               0.008218
                     21,                0.00355,                0.52364,                0.96364,                0.78987,               0.008119,               0.008119,               0.008119
                     22,                0.00343,                0.52364,                0.95273,                0.78769,                0.00802,                0.00802,                0.00802
                     23,                 0.0035,                0.51273,                0.95273,                0.78899,               0.007921,               0.007921,               0.007921
                     24,                0.00338,                0.50909,                   0.96,                0.79417,               0.007822,               0.007822,               0.007822
                     25,                0.00314,                0.52364,                0.95636,                 0.7879,               0.007723,               0.007723,               0.007723
                     26,                0.00329,                0.50909,                   0.96,                0.79059,               0.007624,               0.007624,               0.007624
                     27,                 0.0031,                0.50909,                0.95636,                0.79133,               0.007525,               0.007525,               0.007525
                     28,                0.00309,                0.49818,                   0.96,                0.79589,               0.007426,               0.007426,               0.007426
                     29,                0.00305,                0.48727,                0.94909,                0.79991,               0.007327,               0.007327,               0.007327
                     30,                0.00302,                0.49818,                0.95273,                0.79454,               0.007228,               0.007228,               0.007228
                     31,                0.00293,                0.49455,                0.96364,                0.79521,               0.007129,               0.007129,               0.007129
                     32,                0.00296,                0.50545,                0.95273,                0.79499,                0.00703,                0.00703,                0.00703
                     33,                0.00294,                0.52364,                0.94545,                0.79161,               0.006931,               0.006931,               0.006931
                     34,                0.00291,                0.51273,                0.95636,                0.79019,               0.006832,               0.006832,               0.006832
                     35,                0.00286,                   0.52,                0.95636,                0.78898,               0.006733,               0.006733,               0.006733
                     36,                0.00291,                0.50545,                0.95273,                0.79401,               0.006634,               0.006634,               0.006634
                     37,                0.00293,                0.50909,                   0.96,                0.79055,               0.006535,               0.006535,               0.006535
                     38,                 0.0028,                0.49091,                0.95273,                0.79328,               0.006436,               0.006436,               0.006436
                     39,                0.00263,                0.51273,                0.95636,                0.78972,               0.006337,               0.006337,               0.006337
                     40,                0.00275,                0.53091,                0.95273,                0.78699,               0.006238,               0.006238,               0.006238
                     41,                0.00323,                0.53091,                0.96364,                0.79067,               0.006139,               0.006139,               0.006139
                     42,                0.00297,                0.46182,                0.94545,                0.81482,                0.00604,                0.00604,                0.00604
                     43,                0.00268,                0.45455,                0.94909,                0.81642,               0.005941,               0.005941,               0.005941
                     44,                0.00283,                0.44364,                0.94545,                0.81164,               0.005842,               0.005842,               0.005842
                     45,                0.00273,                0.44727,                0.94545,                0.81291,               0.005743,               0.005743,               0.005743
                     46,                0.00259,                0.45455,                0.94545,                0.80781,               0.005644,               0.005644,               0.005644
                     47,                0.00259,                   0.48,                0.94909,                0.80829,               0.005545,               0.005545,               0.005545
                     48,                0.00256,                0.47636,                0.94909,                0.80356,               0.005446,               0.005446,               0.005446
                     49,                0.00263,                0.46545,                0.94182,                0.80689,               0.005347,               0.005347,               0.005347
                     50,                0.00252,                0.48364,                0.94909,                0.80471,               0.005248,               0.005248,               0.005248
                     51,                 0.0025,                0.45455,                0.94545,                0.80697,               0.005149,               0.005149,               0.005149
                     52,                0.00243,                0.46909,                0.94545,                0.80587,                0.00505,                0.00505,                0.00505
                     53,                0.00253,                0.47636,                0.94182,                0.80299,               0.004951,               0.004951,               0.004951
                     54,                0.00234,                0.46182,                0.94182,                0.80288,               0.004852,               0.004852,               0.004852
                     55,                0.00236,                0.48364,                0.94545,                0.79998,               0.004753,               0.004753,               0.004753
                     56,                0.00251,                0.46909,                0.94182,                0.80327,               0.004654,               0.004654,               0.004654
                     57,                0.00244,                0.49091,                0.93818,                 0.8006,               0.004555,               0.004555,               0.004555
                     58,                0.00244,                0.46182,                0.94909,                0.80476,               0.004456,               0.004456,               0.004456
                     59,                0.00244,                0.48364,                0.94909,                0.80268,               0.004357,               0.004357,               0.004357
                     60,                0.00234,                0.47636,                0.94545,                0.80199,               0.004258,               0.004258,               0.004258
                     61,                0.00237,                   0.48,                0.94182,                0.80124,               0.004159,               0.004159,               0.004159
                     62,                0.00243,                0.48727,                0.94545,                0.79935,                0.00406,                0.00406,                0.00406
                     63,                0.00245,                   0.48,                0.94182,                 0.8001,               0.003961,               0.003961,               0.003961
                     64,                0.00247,                0.48364,                0.94545,                0.80296,               0.003862,               0.003862,               0.003862
                     65,                 0.0023,                   0.48,                0.94182,                0.80252,               0.003763,               0.003763,               0.003763
                     66,                0.00231,                0.48364,                0.93818,                0.80187,               0.003664,               0.003664,               0.003664
