                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.23999,                0.60317,                0.98016,                0.74271,             0.00023728,             0.00023728,             0.00023728
                      2,                 0.0481,                0.63095,                0.99206,                0.72133,             0.00047058,             0.00047058,             0.00047058
                      3,                0.03554,                0.63095,                0.98413,                0.72634,             0.00069916,             0.00069916,             0.00069916
                      4,                0.02539,                0.58333,                0.97222,                0.73497,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02007,                 0.5754,                0.98016,                0.73267,             0.00069279,             0.00069279,             0.00069279
                      6,                 0.0151,                0.55952,                0.96429,                0.74342,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01175,                0.55952,                0.96825,                0.73914,             0.00067866,             0.00067866,             0.00067866
                      8,                 0.0088,                0.54365,                 0.9881,                0.75076,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00842,                0.54365,                0.95635,                0.74374,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00671,                0.53968,                0.97619,                 0.7405,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00713,                0.48413,                0.96825,                0.75874,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00647,                0.53571,                0.96032,                0.74937,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00543,                0.49603,                0.96429,                0.74702,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00428,                0.49603,                0.95635,                0.74974,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00514,                0.53968,                0.96825,                0.74825,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01014,                0.51984,                0.95635,                0.74892,             0.00061504,             0.00061504,             0.00061504
                     17,                0.01648,                0.53968,                0.96032,                0.75794,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00959,                0.55159,                0.95238,                0.74777,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00579,                0.50397,                 0.9246,                0.76384,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00649,                0.54762,                0.93651,                0.73522,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00923,                0.62698,                0.94048,                  0.709,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00543,                0.63492,                0.95238,                0.71341,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00504,                0.58333,                0.96429,                0.72698,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00406,                0.65079,                0.96825,                 0.7076,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00439,                0.59921,                0.96825,                0.71808,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00518,                0.61905,                0.96825,                0.71244,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00434,                0.60714,                0.96825,                  0.722,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00424,                0.56349,                0.96429,                0.73255,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00727,                 0.6746,                0.97222,                0.70748,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00529,                0.62698,                0.96429,                0.71556,             0.00051608,             0.00051608,             0.00051608
                     31,                 0.0054,                0.65476,                0.97619,                0.70257,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00418,                0.67063,                0.96032,                0.69874,             0.00050194,             0.00050194,             0.00050194
                     33,                 0.0046,                0.59524,                0.95635,                0.72195,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00411,                0.63492,                0.94841,                0.70316,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00363,                0.64683,                0.95238,                0.70751,             0.00048074,             0.00048074,             0.00048074
                     36,                 0.0033,                0.63095,                0.94841,                0.70892,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00348,                0.63492,                0.94841,                0.70841,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00802,                 0.4881,                0.94048,                0.75566,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00852,                0.51984,                0.96032,                0.75308,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00488,                 0.5873,                0.96429,                0.71832,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00477,                0.55556,                0.96032,                0.72907,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00472,                0.55159,                0.95238,                 0.7381,             0.00043126,             0.00043126,             0.00043126
