                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20671,                0.54508,                0.95902,                0.81022,              0.0002374,              0.0002374,              0.0002374
                      2,                0.04336,                0.52459,                0.97131,                0.80807,             0.00047069,             0.00047069,             0.00047069
                      3,                0.03296,                0.37295,                0.90164,                0.84037,             0.00069927,             0.00069927,             0.00069927
                      4,                0.02822,                0.52869,                0.97131,                0.80423,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02085,                0.61475,                 0.9877,                0.77328,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01672,                0.53279,                0.97131,                0.79136,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01262,                0.54098,                0.98361,                0.77879,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00957,                0.60656,                 0.9959,                0.76424,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00745,                 0.4877,                0.98361,                 0.7987,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00614,                0.56967,                 0.9918,                0.77967,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00609,                0.56148,                0.96311,                0.78124,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01268,                0.48361,                0.95082,                0.81669,             0.00064331,             0.00064331,             0.00064331
                     13,                0.01365,                0.55328,                0.97131,                0.78673,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00921,                0.52869,                0.95082,                0.79135,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00704,                0.54098,                0.95902,                0.78224,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00603,                0.57377,                0.96311,                  0.772,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00435,                0.56967,                0.97951,                0.77812,             0.00060797,             0.00060797,             0.00060797
                     18,                 0.0048,                0.57787,                0.96721,                0.76985,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00408,                0.57787,                0.96721,                0.77008,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00401,                0.58197,                 0.9877,                0.77108,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00357,                0.57787,                 0.9877,                0.77158,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00361,                0.58607,                 0.9877,                0.76576,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00332,                0.57377,                0.98361,                0.76722,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00342,                0.56148,                0.98361,                0.77451,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00337,                0.56148,                0.97951,                0.77307,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00334,                0.56148,                0.97131,                0.77359,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00357,                0.59016,                0.98361,                0.76358,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00378,                0.59836,                0.98361,                0.76495,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00348,                0.57377,                0.97951,                0.77045,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00388,                0.59836,                0.96721,                0.75456,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00354,                0.60656,                0.96721,                0.75707,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00374,                0.57787,                0.95492,                0.76154,             0.00050194,             0.00050194,             0.00050194
                     33,                0.02007,                0.48361,                0.93033,                 0.8188,             0.00049487,             0.00049487,             0.00049487
                     34,                0.01932,                 0.5041,                0.93852,                0.81293,              0.0004878,              0.0004878,              0.0004878
                     35,                  0.009,                0.56967,                0.93852,                0.79467,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00681,                0.52459,                0.95082,                0.79465,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00467,                0.48361,                0.95902,                0.80072,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00422,                0.52459,                0.96721,                0.79023,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00396,                0.51639,                0.95082,                0.79106,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00347,                0.51639,                0.94262,                0.78891,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00322,                0.52869,                0.95082,                 0.7877,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00317,                0.51639,                0.94672,                0.78896,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00312,                0.53279,                0.94672,                0.78294,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00305,                0.52459,                0.94672,                0.78124,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00303,                0.53279,                0.95082,                0.77919,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00308,                0.52869,                0.95492,                0.77713,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00325,                0.52459,                0.94262,                0.78373,             0.00039591,             0.00039591,             0.00039591
                     48,                  0.003,                 0.5123,                0.95902,                0.78689,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00296,                0.52049,                0.95082,                0.78627,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00291,                0.52049,                0.95902,                0.79011,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00532,                0.46721,                0.94262,                0.82208,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00712,                 0.5123,                0.90984,                0.80874,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00877,                 0.5123,                0.96311,                0.80399,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00479,                0.52459,                0.95082,                0.80306,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00425,                0.55738,                0.96311,                0.78677,             0.00033936,             0.00033936,             0.00033936
                     56,                 0.0033,                0.54508,                0.96311,                0.79011,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00309,                0.54098,                0.96311,                0.79073,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00327,                0.55328,                0.96311,                0.78524,             0.00031816,             0.00031816,             0.00031816
