                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00355,                0.58101,                0.96648,                0.69022,             0.00023728,             0.00023728,             0.00023728
                      2,                0.00423,                0.42458,                0.94972,                0.73464,             0.00047058,             0.00047058,             0.00047058
                      3,                0.01523,                0.58101,                0.98324,                0.70033,             0.00069916,             0.00069916,             0.00069916
                      4,                 0.0081,                0.51955,                0.98324,                0.72742,             0.00069279,             0.00069279,             0.00069279
                      5,                0.00593,                0.55307,                0.98883,                0.70402,             0.00069279,             0.00069279,             0.00069279
                      6,                0.00418,                0.55307,                0.98324,                0.70417,             0.00068573,             0.00068573,             0.00068573
                      7,                 0.0041,                0.56425,                0.97207,                0.69797,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00336,                0.63128,                0.97765,                0.68098,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00337,                0.63128,                0.97765,                0.68529,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00335,                0.61453,                0.97765,                0.68276,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00335,                0.60335,                0.98883,                0.68553,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00327,                0.60894,                0.98324,                0.68012,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00316,                0.56983,                0.97207,                0.68501,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00361,                0.57542,                0.97765,                0.69137,             0.00062918,             0.00062918,             0.00062918
                     15,                 0.0038,                0.64246,                0.96648,                0.68372,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00372,                0.58659,                0.97207,                0.69235,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00352,                0.56983,                0.96089,                0.69015,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00329,                0.59777,                0.98883,                0.68116,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00312,                0.59777,                0.98883,                0.68046,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00317,                0.59218,                0.97765,                0.67894,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00297,                0.60894,                0.97765,                0.68032,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00307,                0.59777,                0.98324,                0.68581,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00312,                0.55866,                0.96648,                 0.6915,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00294,                0.58101,                0.96648,                0.68142,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00298,                0.58659,                0.97765,                0.68229,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00307,                0.59777,                0.96648,                0.68651,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00306,                0.58659,                0.96648,                0.68337,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00299,                0.55307,                0.97765,                0.68354,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00306,                0.60335,                0.97765,                 0.6815,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00316,                0.49721,                0.96648,                0.69817,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00305,                0.55307,                0.96648,                0.69974,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00298,                0.51955,                0.96089,                0.70534,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00525,                0.46369,                0.96089,                0.73135,             0.00049487,             0.00049487,             0.00049487
                     34,                0.02096,                0.52514,                0.98883,                0.72545,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00916,                0.44134,                0.97207,                0.74791,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00516,                0.49162,                0.98883,                0.72893,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00444,                0.48045,                0.97765,                0.72735,              0.0004666,              0.0004666,              0.0004666
                     38,                 0.0033,                0.49162,                0.98324,                0.72564,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00308,                0.50838,                0.97765,                0.72442,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00298,                0.49162,                0.97765,                 0.7265,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00293,                0.49162,                0.97765,                0.72637,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00308,                0.51955,                0.97207,                0.72289,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00311,                0.50279,                0.98324,                0.71752,             0.00042419,             0.00042419,             0.00042419
                     44,                 0.0029,                0.49721,                0.98324,                0.71778,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00293,                0.50279,                0.98324,                0.71882,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00288,                0.50279,                0.98324,                0.71501,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00284,                0.50279,                0.98324,                0.71439,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00294,                0.50838,                0.98324,                0.71469,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00283,                0.51397,                0.98324,                0.71654,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00279,                0.50279,                0.97765,                0.71674,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00279,                0.51397,                0.98324,                0.71494,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00275,                0.50838,                0.98324,                0.71729,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00286,                0.53073,                0.97765,                0.71389,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00281,                0.53073,                0.98324,                0.71479,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00279,                0.51397,                0.98324,                0.71382,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00284,                0.52514,                0.98324,                0.71608,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00275,                0.49721,                0.98324,                0.71561,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00271,                0.50279,                0.98324,                0.71713,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00277,                0.49721,                0.98324,                0.71486,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00273,                0.51955,                0.98324,                0.71547,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00274,                0.53073,                0.98324,                0.71436,             0.00029695,             0.00029695,             0.00029695
                     62,                0.00277,                0.50838,                0.98324,                0.71465,             0.00028988,             0.00028988,             0.00028988
                     63,                 0.0027,                0.50279,                0.97765,                0.71428,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00273,                0.50279,                0.98324,                0.71442,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00269,                0.51397,                0.98324,                0.71449,             0.00026868,             0.00026868,             0.00026868
