                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.05958,                0.61589,                0.97351,                 0.7435,              0.0002374,              0.0002374,              0.0002374
                      2,                 0.0376,                0.70199,                0.98675,                0.71912,             0.00042833,             0.00042833,             0.00042833
                      3,                0.03001,                0.74172,                0.98013,                0.70419,             0.00057215,             0.00057215,             0.00057215
                      4,                0.02406,                0.68212,                      1,                0.72637,             0.00050194,             0.00050194,             0.00050194
                      5,                0.01417,                0.72848,                0.99338,                0.69954,             0.00050194,             0.00050194,             0.00050194
                      6,                0.01019,                0.76159,                0.98675,                0.67493,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00728,                0.77483,                0.99338,                0.66718,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00539,                 0.7351,                0.98013,                0.67572,             0.00028988,             0.00028988,             0.00028988
                      9,                0.00443,                0.77483,                0.98675,                0.66697,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00392,                0.77483,                0.99338,                0.66809,             0.00014851,             0.00014851,             0.00014851
